"Product Code","Product Name",Variant,Expected,Counted
ARJU-10,"Arjutone -10 TAb",,0.0000,
ARJU-30,"Arjutone -30 Tab ",,16.0000,
GOU-10,"Gomutra Haritaki -10 Tab",,0.0000,
GOU-30,"Gomutra Haritaki -30 Tab",,7.0000,
KUTAJV-10,"Kautajadi Shilajitu  - 10 Tab",,0.0000,
KUTAJV-30,"Kautajadi Shilajitu - 30 Tab",,18.0000,
LEP,"Shwitra Lep Goli",,11.0000,
NAG10,"Nagkeshar - 10",,0.0000,
NAG30,"Nagkeshar - 30",,19.0000,
NAVSH-10,"Navshiladi Guggul -10 Tab",,0.0000,
NAVSH-30,"Navshiladi Guggul -30 Tab",,15.0000,
OSTEO-10,"Osteo Joint-10 Tab ",,0.0000,
OSTEO-30,"Osteo Joint-30 Tab",,6.0000,
PSORO-10,"Psoroderma -10 Tab",,0.0000,
PSORO-30,"Psoroderma -30 Tab",,17.0000,
TAKRA-1,"Takararishta - 1",,12.0000,
TAKRA-2,"Takrarishta - 2",,0.0000,
ULTRA10,"Ultra Ortho10",,0.0000,
ULTRA30,"Ultra Ortho30",,7.0000,
UTGM,"Utroxyl GM - 30",,12.0000,
UTGM-10,"Utroxyl Gm - 10 ",,0.0000,
UTGT10,"Utroxyl GT-10",,0.0000,
UTGT30,"Utroxyl GT-30",,9.0000,
VKAM10,Kamadudha10,,0.0000,
VKAM30,Kamadudha30,,9.0000,
VTRIPH10,"Triphala Tab -10",,0.0000,
VTRIPH30,"Triphala Tab -30",,1.0000,
