"Product Code","Product Name",Variant,Expected,Counted
ABC,"ABC Medicine",,67.0000,
ADL,Adulasa,,20.0000,
AIDS,"Aids mukt vhaych ahe",,20.0000,
AMOK,"Abhayadi Modak",,2.0000,
AMRS,Amrutras,,30.0000,
app,"Appi Tab",,4.0000,
AR,"Ariel  ",,0.0000,
ARJC,"Arjunsal Churn",,11.0000,
ARJU-30,"Arjutone -30 Tab ",,5.0000,
arn,"Arnopen ointment",,59.0000,
ARN-30,"Arnopen -30",,26.0000,
Arnoliq,"Arnopen Liquied",,0.0000,
aro,"Arogya DVD",,23.0000,
arsh,"Arshabhed Tab",,10.0000,
ASHTYOG,"JJ Ashtangik Yog Chikitsa",,13.0000,
ASHW,"Ashwgandha Churn",,6.0000,
BAHV,"Bahava Crush",,3.0000,
BC,"Bala Churn",,5.0000,
bet,"betnovet - c",,10.0000,
BIB,Bibba,,9.0000,
BL,"BLUE LOSHAN",,0.0000,
BLACK,"Black Medicine",,10.0000,
BOOT-30,"Bootex Fort-30",,23.0000,
BPC,"B. P. Churn",,5.0000,
BREN,"Brento Tab",,5.0000,
BRM,"Bramhi Churn",,3.0000,
brx,"White Brx Powder",,0.0000,
CBB,"Carrybags Big",,0.0000,
CBS,"Carrybags Small",,0.0000,
CEG,"Ce-Ce Gel",,0.0000,
CEL,"Carrybags Extra Large",,0.0000,
CHAND,CHANDANASAV,,1.0000,
Cur,Curcumine,,86.0000,
DAN,Dandrion,,6.0000,
DASH,Dashmularishth,,7.0000,
DBT30,D.B.T-30,,37.0000,
DECR-30,"Decren Plus - 30 Cap",,38.0000,
DHD,"Dhade Dhadache Book",,33.0000,
DYT-30,"D. Y. T-30 Tab",,3.0000,
EKACHPS,"Ekach Pela Shivambucha",,2.0000,
EP,"Electrol Powder",,0.0000,
ern,"Erandel Tel",,3.0000,
EYE,"Eye wash cup",,955.0000,
Ezy,"Ezyvoid Tab",,3.0000,
fg,flagyl,,2.0000,
GAR-30,"Garlicon - 30 Tab",,28.0000,
GARC,"Garcinia Cap",,0.0000,
GC,"Gulvel churn",,12.0000,
GMA,"Gomutra Ark",,17.0000,
GOU-30,"Gomutra Haritaki -30 Tab",,8.0000,
HAD,Hadensa,,20.0000,
HEP-30,"Hepjaun-30 Tab",,20.0000,
HEP-300ml,"Hepjaun Syrup- 300 ML",,11.0000,
HERB,"Herbo Powder",,41.0000,
HON,Honitus,,5.0000,
JAGG,"Jaggery -Gul",,0.0000,
JAV,"Javas Seeds",,25.0000,
JF,"JJ Food",,1.0000,
JJAHAR,"AAhar  Jivanjal- Hindi ",,101.0000,
JJCAN,"JJ Cancer Visheshank",,20.0000,
JJDIAB,"JJ Diabetes Visheshank ",,0.0000,
JL,"JALIM LOSHAN",,33.0000,
