"Product Code","Product Name",Variant,Expected,Counted
ac,"Arjunsal Churn",,16.0000,
adu,Adulsa,,10.0000,
advd,"Aarogya DVD",,400.0000,
agc,"Ashwagandha  churn",,14.0000,
ap,Arnopen,,65.0000,
AR,"Amrutras ",,18.0000,
ayog,Ashtangik,,70.0000,
bf,"Bootex Fort",,29.0000,
bm,"Black Medicine",,0.0000,
bp,"B.P Churn",,25.0000,
bs,"Bahavyacha Shenga",,5.0000,
cc,Curcumine,,101.0000,
cvj,"Cancer Visheshank-jj",,100.0000,
d,Diabeteas,,100.0000,
dand,Dandrion,,7.0000,
dbt,D.B.T,,7.0000,
dd,"Dhade Dhadache",,100.0000,
DP,"Decren Plus",,550.0000,
dyt,D.Y.T,,18.0000,
ep,"Ekach Pela",,50.0000,
ewc,"Eye wash cup",,23.0000,
gc,"Gulvel churn",,14.0000,
gt,Garcinia,,7.0000,
Gul,"Jaggery -Gul",,7.0000,
hand,Handensa,,17.0000,
honi,Honitus,,6.0000,
hp,"Harbo Powder",,48.0000,
hs,Hepjaun,,4.0000,
JL,"JALIM LOSHAN",,12.0000,
Js,"Javas Seeds",,0.0000,
kbc,"Kavachbeej Churn",,3.0000,
kc,"Kayam Tab",,27.0000,
keshya,"Keshya Tel",,5.0000,
kmd,Kamdudha,,31.0000,
kr,"Korfad Ras",,7.0000,
kt,"Krumina Tab",,18.0000,
kut,"Kutaj Compound",,14.0000,
lim,Limiron,,63.0000,
mc,"Madhumehari Churn",,7.0000,
me,Me-Cal,,65.0000,
mr,Mebarid,,33.0000,
ms,"Methi Seed",,15.0000,
mtone,"M-2 Tone",,5.0000,
mtones,"M-2-Tone Syrup",,5.0000,
mul,Mulnakshtri,,5.0000,
myg,"Maha Yograj Guggul",,3.0000,
na,"Naisargik Aahar",,100.0000,
no,"Neem Oil",,16.0000,
np,"Nethi Pot",,50.0000,
pai,"Pailowin Tab",,20.0000,
pal,Palsinuron,,53.0000,
pk,"patankar Kadha",,18.0000,
pph,Paneerphool,,4.0000,
pt,"Paintaseed Tab",,9.0000,
puna,"Punarnavasav ",,2.0000,
sbig,"Shatavari ",,4.0000,
sc,"Soya Cofee",,11.0000,
sch,"Shivambu Chikitsa Hindi",,100.0000,
scm,"Shivambu Chikitsa Marathi",,100.0000,
sh,Swamutra-Hindi,,100.0000,
sm,Swamutra-Marathi,,100.0000,
ss,"Sukhsarak Vati",,36.0000,
ssamll,"Shatavari small",,14.0000,
ssp,"Shivambu Samachar",,50.0000,
sts,"sutshekhar Vati",,46.0000,
sun,Sunarain,,70.0000,
tag,Tagara,,5.0000,
TC,"Triphala Churn",,14.0000,
tt,"Til Tel",,12.0000,
vc,"Virechan ",,8.0000,
wg,Wheatgrass,,54.0000,
