"Product Code","Product Name",Variant,Expected,Counted
ADL,Adulsa,,2.0000,
AJJ,"Ahar  Jivanjal- Hindi ",,0.0000,
AMOK,"Abhayadi Modak",,2.0000,
AMR,"Amrutras ",,0.0000,
ARGD,"Aarogya DVD",,0.0000,
ARJC,"Arjunsal Churn",,0.0000,
ARJU-10,"Arjutone -10 TAb",,0.0000,
ARJU-30,"Arjutone -30 Tab ",,0.0000,
ARN-10,"Arnopen - 10 Cap",,0.0000,
ARN-30,"Arnopen - 30 Cap",,0.0000,
ASHT,"Ashtangik Yog Chikitsa",,0.0000,
ASHW,"Ashwagandha  churn",,0.0000,
BAH,"Bahava Crush",,0.0000,
BLACK,"Black Medicine",,0.0000,
BOOT-10,"Bootex Fort - 10 Cap",,0.0000,
BOOT-30,"Bootex Fort - 30 Cap",,0.0000,
BPC,"B.P. Churn",,0.0000,
BREN,"Brento Tab",,5.0000,
CAN,"Cancer Visheshank-jj",,0.0000,
CUR,Curcumine,,0.0000,
DAN,Dandrion,,0.0000,
DBT-10,"D.B.T -10 Tab",,0.0000,
DBT-30,"D.B.T -30 Tab",,0.0000,
DECR-10,"Decren Plus - 10 Cap",,0.0000,
DECR-30,"Decren Plus - 30 Cap",,0.0000,
DH,"Dhade Dhadache",,0.0000,
DIAB,"Diabetes Visheshank ",,0.0000,
DY-10,"D.Y.T - 10 Tab",,0.0000,
DY-30,"D.Y.T - 30 Tab",,0.0000,
EKACH,"Ekach Pela Shivambuch",,0.0000,
EYE,"Eye wash cup",,0.0000,
GAR-10,"Garlicon -10 Tab",,15.0000,
GAR-30,"Garlicon - 30 Tab",,15.0000,
GARC,"Garcinia Cap",,0.0000,
GOU,"Goumutra Ark",,0.0000,
GOU-10,"Gomutra Haritaki -10 Tab",,0.0000,
GOU-30,"Gomutra Haritaki -30 Tab",,0.0000,
GUL,"Gulvel churn",,0.0000,
HAD,Hadensa,,0.0000,
HARB,"Harbo Powder",,0.0000,
HEP-10,"Hepjaun - 10 Tab",,0.0000,
HEP-200ml,"Hepjaun Syrup- 200 ML",,0.0000,
HEP-30,"Hepjaun - 30 Tab",,0.0000,
HEP-300ml,"Hepjaun Syrup- 300 ML",,0.0000,
HON,Honitus,,0.0000,
JAGG,"Jaggery -Gul",,0.0000,
JAV,"Javas Seeds",,0.0000,
JL,"JALIM LOSHAN",,0.0000,
K-4,"K-4 Tab",,5.0000,
KB,"Kavachbeej Churn",,0.0000,
KCT-10,"KC - 10 Tab",,0.0000,
KCT-30,"KC - 30 Tab",,0.0000,
KESH,"Keshya Tel",,0.0000,
KMD-10,"Kamdudha - 10 Tab",,0.0000,
KMD-30,"Kamdudha - 30 Tab",,0.0000,
KOR,"Korfad Ras",,0.0000,
KRU-10,"Krumina - 10 Tab",,0.0000,
KRU-30,"Krumina - 30 Tab",,0.0000,
KTJ-10,"Kutaj Compound - 10 Tab",,0.0000,
KTJ-30,"Kutaj Compound - 30 Tab",,0.0000,
KUTAJV-10,"Kautajadi Shilajitu  - 10 Tab",,0.0000,
KUTAJV-30,"Kautajadi Shilajitu - 30 Tab",,0.0000,
LEP,"Shwitra Lep Goli",,0.0000,
LIM-10,"Limiron - 10 Tab",,0.0000,
LIM-30,"Limiron - 30 Tab",,0.0000,
MAD,"Madhumehari Churn",,0.0000,
