"Product Code","Product Name",Variant,Expected,Counted
AMRS,Amrutras,,30.0000,
ARJC,"Arjunsal Churn",,5.0000,
ARJU-30,"Arjutone -30 Tab ",,6.0000,
ARN-30,"Arnopen -30",,40.0000,
ASHW,"Ashwgandha Churn",,5.0000,
BAHV,"Bahava Crush",,10.0000,
bet,"betnovet - c",,8.0000,
BLACK,"Black Medicine",,10.0000,
BOOT-30,"Bootex Fort-30",,10.0000,
BPC,"B. P. Churn",,20.0000,
Cur,Curcumine,,20.0000,
DAN,Dandrion,,10.0000,
DASH,Dashmularishth,,5.0000,
DECR-30,"Decren Plus - 30 Cap",,30.0000,
DYT-30,"D. Y. T-30 Tab",,24.0000,
EYE,"Eye wash cup",,108.0000,
GC,"Gulvel churn",,20.0000,
GMA,"Gomutra Ark",,50.0000,
HAD,Hadensa,,10.0000,
HEP-30,"Hepjaun-30 Tab",,20.0000,
HEP-300ml,"Hepjaun Syrup- 300 ML",,10.0000,
HERB,"Herbo Powder",,50.0000,
hl,"Herbo Lep",,32.0000,
JAGG,"Jaggery -Gul",,90.0000,
JAV,"Javas Seeds",,40.0000,
JL,"JALIM LOSHAN",,10.0000,
KB,"Kavachbeej Churn",,5.0000,
KCT-30,"KC - 30 Tab",,30.0000,
KESH,"Keshya Tel",,15.0000,
KJC,"K-Jal Churn",,10.0000,
KMD-30,"KMD   - 30 Tab",,30.0000,
KOR,"Korfad Ras",,50.0000,
LEP,"Shwitra Lep Goli",,5.0000,
LIM-30,"Limiron - 30 Tab",,40.0000,
MAD,"Madhumehari Churn",,25.0000,
MEB-30,"Mebarid - 30 Cap",,20.0000,
MEC-30,"Me-Cal 30 Tab",,30.0000,
METH,"Methi Seed",,40.0000,
MK,"Maharasnadi Kadha",,5.0000,
MO,"Massage Oil",,50.0000,
MTON,"M-2 Tone Tab",,10.0000,
MTOS,"M-2-Tone Syrup",,10.0000,
MUS,Musali,,50.0000,
NEEM,"Neem Oil",,15.0000,
NEER,"Neeri Tab",,10.0000,
NET,"Neti Pot",,100.0000,
PAL-30,"Palsinuron -30 Cap",,10.0000,
PAN,Paneerphool,,15.0000,
PAT,"patankar Kadha",,54.0000,
PUNR,"Punarnavasav ",,5.0000,
RC10,"Rubber Cathetor No. 10",,10.0000,
RC3,"Rubber Cathetor No. 3",,10.0000,
SOYC,"Soya Cofee",,50.0000,
SPIR,Spirulina,,20.0000,
SS-30,"SS - 30 Tab",,50.0000,
STO-30,"Stonvil -30Cap",,20.0000,
STS-30,"STS -30 Tab ",,20.0000,
SUN30,"Sunarain - 30",,20.0000,
TAG,Tagara,,10.0000,
TAKRA-1,"Takararishta - 1",,5.0000,
TAKRA-2,"Takrarishta - 2",,5.0000,
UTS,"U-Tone Syrup",,10.0000,
VIRE,"Virechan ",,100.0000,
WHEAT,Wheatgrass,,20.0000,
WM,"White Medicine-6",,10.0000,
ZTT,"Triaphala Tablet ",,100.0000,
